YearStart,MemberShipType,PaymentMethod,NeedsNotification,Name,Email,Name2,Email2,Comment,Date,Amount
2019,Annual,Credit Card,Yes,Barres,Barres@email.com,Martinez,Martinez@email.com,Last payments received. ,9/9/20,$197.00 
2019,Monthly,Credit Card,Yes,Hamblurg,Hamblurg@email.com,Newman,Newman@email.com,Two member fees and outstanding debt,7/28/20,$200.00 
2019,Monthly,Credit Card,No,Jacob,Jacob@email.com,Robertson,Robertson@email.com,Discount to be applied after balance cleared,1/30/20,$104.00 
2017,Annual,Check,No,Griffin,Griffin@email.com,Cisneros,Cisneros@email.com,"Spoke with customer yesterday, payment plan scheduled",1/24/20,$141.00 
2018,Annual,Check,No,Hernandez,Hernandez@email.com,Allen,Allen@email.com,"Spoke with customer yesterday, payment plan scheduled",5/25/20,$148.00 
2017,Monthly,Credit Card,Yes,Mendoza,Mendoza@email.com,White,White@email.com,No contact with customers,9/25/20,$169.00 
2014,Annual,Check,Yes,Owen,Owen@email.com,None,None@email.com,No contact with customers,10/31/20,$139.00 
2017,Annual,Credit Card,Yes,Stevens,Stevens@email.com,None,None@email.com,No contact with customers,3/8/20,$131.00 
2018,Annual,Credit Card,No,Sullivan,Sullivan@email.com,Vough,Vough@email.com,No contact with customers,11/21/20,$178.00 
2012,Annual,Credit Card,Yes,Thomson,Thomson@email.com,Duncan,Duncan@email.com,No contact with customers,2/21/20,$189.00 
